date,temp,wind,hum,isholiday,count
20150101,-7.7,4.6,41.4,1,1645
20150102,-6.0,3.2,45.9,0,1329
20150103,-2.7,1.9,56.1,1,3388
20150104,2.5,2.0,70.1,1,5327
20150105,3.7,2.4,73.1,0,1614
20150106,-3.2,4.3,52.4,0,1274
20150107,-5.5,2.5,33.1,0,1010
20150108,-5.1,2.2,45.8,0,1632
20150109,-2.1,2.0,58.3,0,1363
20150110,-0.3,2.3,56.5,1,4895
20150111,-0.4,3.6,57.8,1,4515
20150112,-2.7,1.8,37.8,0,1200
20150113,0.2,1.8,39.6,0,1664
20150114,2.5,1.5,41.1,0,1746
20150115,2.8,2.1,53.6,0,3868
20150116,0.8,4.0,73.0,0,917
20150117,-4.1,3.8,46.0,1,3341
20150118,-1.3,2.3,68.4,1,3649
20150119,-0.1,3.2,68.1,0,1219
20150120,-0.9,1.9,55.8,0,1646
20150121,2.6,2.0,58.3,0,1698
20150122,3.1,1.5,60.6,0,1680
20150123,1.2,2.6,66.4,0,1692
20150124,3.7,1.8,62.9,1,7493
20150125,3.0,3.5,78.4,1,2864
20150126,3.6,2.6,87.5,0,1402
20150127,-3.6,3.7,55.4,0,1508
20150128,-4.1,2.3,49.3,0,1263
20150129,-1.1,2.3,56.4,0,1261
20150130,-3.3,3.8,51.8,0,2953
20150131,-4.5,2.6,46.4,1,3256
20150201,-3.0,1.9,44.9,1,5028
20150202,-0.6,1.5,47.3,0,1671
20150203,0.6,2.1,54.5,0,1759
20150204,0.4,2.0,64.5,0,1588
20150205,-0.1,3.0,57.1,0,1995
20150206,0.4,2.2,57.3,0,1401
20150207,1.2,2.6,65.3,1,4933
20150208,-9.8,5.3,34.1,1,1328
20150209,-5.7,3.1,54.6,0,593
20150210,1.7,2.8,69.0,0,1136
20150211,2.7,2.5,60.3,0,1403
20150212,-2.2,4.2,36.8,0,1194
20150213,-1.6,3.1,46.4,0,1102
20150214,2.0,2.2,72.9,1,3983
20150215,7.9,2.9,61.6,1,6625
20150216,5.0,3.5,91.9,0,437
